filename,y_min,y_max,x_min,x_max,height,width,size
cr1_0082p_00002.cbf,533,562,285,323,29,38,1102
cr1_0082p_00003.cbf,533,562,285,323,29,38,1102
cr1_0082p_00004.cbf,533,562,286,324,29,38,1102
cr1_0082p_00005.cbf,532,561,286,323,29,37,1073
cr1_0082p_00006.cbf,532,561,286,323,29,37,1073
cr1_0082p_00007.cbf,533,561,285,323,28,38,1064
cr1_0082p_00008.cbf,533,562,285,322,29,37,1073
cr1_0083p_00001.cbf,533,562,286,323,29,37,1073
cr1_0083p_00002.cbf,533,562,285,323,29,38,1102
cr1_0083p_00003.cbf,532,561,285,323,29,38,1102
cr1_0083p_00004.cbf,533,561,286,323,28,37,1036
cr1_0083p_00005.cbf,532,561,286,323,29,37,1073
cr1_0083p_00006.cbf,533,561,285,323,28,38,1064
cr1_0083p_00007.cbf,533,561,285,323,28,38,1064
cr1_0083p_00008.cbf,533,562,284,322,29,38,1102
cr1_0084p_00001.cbf,533,562,286,323,29,37,1073
cr1_0084p_00002.cbf,533,562,285,323,29,38,1102
cr1_0084p_00003.cbf,532,561,285,323,29,38,1102
cr1_0084p_00004.cbf,532,561,285,323,29,38,1102
cr1_0084p_00005.cbf,532,561,285,323,29,38,1102
cr1_0084p_00006.cbf,533,562,285,323,29,38,1102
cr1_0084p_00007.cbf,532,562,285,323,30,38,1140
cr1_0084p_00008.cbf,533,562,284,322,29,38,1102
cr1_0085p_00001.cbf,533,562,286,323,29,37,1073
cr1_0085p_00002.cbf,533,562,285,323,29,38,1102
cr1_0085p_00003.cbf,532,562,285,323,30,38,1140
cr1_0085p_00004.cbf,532,561,285,323,29,38,1102
cr1_0085p_00005.cbf,532,561,286,323,29,37,1073
cr1_0085p_00006.cbf,532,563,285,323,31,38,1178
cr1_0085p_00007.cbf,533,562,285,323,29,38,1102
cr1_0085p_00008.cbf,533,562,284,322,29,38,1102
cr1_0086p_00001.cbf,533,562,285,323,29,38,1102
cr1_0086p_00002.cbf,533,562,285,323,29,38,1102
cr1_0086p_00003.cbf,533,562,284,322,29,38,1102
cr1_0086p_00004.cbf,532,561,285,323,29,38,1102
cr1_0086p_00005.cbf,533,562,285,323,29,38,1102
cr1_0086p_00006.cbf,532,563,285,323,31,38,1178
cr1_0086p_00007.cbf,532,562,285,323,30,38,1140
cr1_0086p_00008.cbf,533,562,284,322,29,38,1102
cr1_0087p_00001.cbf,533,562,286,323,29,37,1073
cr1_0087p_00002.cbf,533,562,285,323,29,38,1102
cr1_0087p_00003.cbf,533,562,284,322,29,38,1102
cr1_0087p_00004.cbf,533,561,285,323,28,38,1064
cr1_0087p_00005.cbf,532,562,285,323,30,38,1140
cr1_0087p_00006.cbf,532,563,285,323,31,38,1178
cr1_0087p_00007.cbf,532,562,285,323,30,38,1140
cr1_0087p_00008.cbf,533,562,284,322,29,38,1102
cr1_0088p_00001.cbf,533,562,285,323,29,38,1102
cr1_0088p_00002.cbf,532,562,285,323,30,38,1140
cr1_0088p_00003.cbf,533,562,284,322,29,38,1102
cr1_0088p_00004.cbf,532,562,285,323,30,38,1140
cr1_0088p_00005.cbf,532,562,286,323,30,37,1110
cr1_0088p_00006.cbf,532,561,286,324,29,38,1102
cr1_0088p_00007.cbf,532,561,286,323,29,37,1073
cr1_0088p_00008.cbf,533,562,285,322,29,37,1073
cr1_0089p_00001.cbf,533,562,286,323,29,37,1073
cr1_0089p_00002.cbf,532,562,285,323,30,38,1140
cr1_0089p_00003.cbf,533,562,285,323,29,38,1102
cr1_0089p_00004.cbf,532,561,286,323,29,37,1073
